name,linkedin_url,primary_role,company,location,niche_tags,credentials_claimed,credentials_verified_or_signal,evidence_links,fit_score,fit_notes,why_selected,confidence,status
"Sofien Kaabar, CFA",https://www.linkedin.com/in/sofienkaabar/,Quantitative Researcher & Author,BBSP Research,Other,"forex, crypto, quantitative",CFA,"CFA in title, published multiple books on trading",https://www.linkedin.com/in/sofienkaabar/,69,"citability=15, credentials=20, google_entity=7, native_english=3, experience_years=6, linkedin_activity=8, associations=10",Credentials: CFA; Cited in niche financial media,medium,candidate
"Sean Pyles, CFP",https://www.linkedin.com/in/seanloranpyles/,Writer & Podcast Host,NerdWallet,US,"personal finance, saving, budgeting",CFP,"CFP in title, active NerdWallet writer, Smart Money podcast host",https://www.linkedin.com/in/seanloranpyles/,64,"citability=15, credentials=18, google_entity=7, location=5, native_english=5, experience_years=6, linkedin_activity=8",Credentials: CFP; Cited in niche financial media; Location: US,medium,candidate
Kelly Anne Smith,https://www.linkedin.com/in/kelly-anne-smith/,Writer,Forbes Advisor,US,"personal finance, banking, credit cards",,"No formal certs, Forbes Advisor byline",https://www.linkedin.com/in/kelly-anne-smith/,48,"citability=25, google_entity=3, location=5, native_english=5, experience_years=4, linkedin_activity=6",Cited in major financial media; Location: US,low,candidate
Blake Morrow,https://www.linkedin.com/in/blake-morrow-322a47b3/,Chief Currency Strategist,Forex Analytix,US,"forex, FX, technical analysis",,"No formal certs, but widely cited forex expert",https://www.linkedin.com/in/blake-morrow-322a47b3/,46,"citability=15, google_entity=3, location=5, native_english=5, experience_years=10, linkedin_activity=8",Cited in niche financial media; Location: US,low,candidate
Paul Katzeff,https://www.linkedin.com/in/paul-katzeff-208115219/,Writer,Investopedia,US,"stocks, investing, markets",,"Investopedia writer, MarketWatch contributor",https://www.linkedin.com/in/paul-katzeff-208115219/,41,"citability=15, google_entity=3, location=5, native_english=5, experience_years=10, linkedin_activity=3",Cited in niche financial media; Location: US,low,candidate
Kim Clark,https://www.linkedin.com/in/kimbclark/,Writer,Kiplinger Personal Finance,US,"personal finance, education, retirement",,Kiplinger staff writer,https://www.linkedin.com/in/kimbclark/,41,"citability=15, google_entity=3, location=5, native_english=5, experience_years=10, linkedin_activity=3",Cited in niche financial media; Location: US,low,candidate
"Christopher Burke, CFP",https://www.linkedin.com/in/chris--burke/,Financial Advisor,Merrill Lynch Wealth Management,US,"personal finance, wealth management",CFP,"CFP in title, Merrill Lynch (FINRA verifiable)",https://www.linkedin.com/in/chris--burke/,39,"credentials=18, location=5, native_english=5, experience_years=8, linkedin_activity=3",Credentials: CFP; Location: US,low,candidate
Jacob Schroeder,https://www.linkedin.com/in/jacob-schroeder/,Financial Content Strategist,The Advisor Content Collective,US,"personal finance, advisor content",,"Kiplinger quoted, finance content specialist",https://www.linkedin.com/in/jacob-schroeder/,39,"citability=15, location=5, native_english=5, experience_years=6, linkedin_activity=8",Cited in niche financial media; Location: US,low,candidate
Rachel L. Warren,https://www.linkedin.com/in/rlw-8813/,Contributing Stock Market Analyst,The Motley Fool,US,"stocks, investing, healthcare",,"No formal certs, Motley Fool contributor",https://www.linkedin.com/in/rlw-8813/,38,"citability=15, google_entity=3, location=5, native_english=5, experience_years=4, linkedin_activity=6",Cited in niche financial media; Location: US,low,candidate
Adam Nasli,https://www.linkedin.com/in/adam-nasli/,Head of Analyst Team,BrokerChooser,Other,"forex, broker reviews, fintech",CFA-level knowledge,"BrokerChooser lead analyst, ex-Citibank, 10+ years",https://www.linkedin.com/in/adam-nasli/,33,"citability=15, google_entity=3, native_english=3, experience_years=6, linkedin_activity=6",Credentials: CFA-level knowledge; Cited in niche financial media,low,candidate
